filename,population,BATCH,SAMPLE_NAME,eventCount
natalia-batch1-concat_normalized_8004-04.fcs,Cells,natalia-batch1,8004-04.fcs,3279
natalia-batch1-concat_normalized_8004-04.fcs,CD45+CD66-,natalia-batch1,8004-04.fcs,203
natalia-batch1-concat_normalized_8004-04.fcs,B cells,natalia-batch1,8004-04.fcs,21
natalia-batch1-concat_normalized_8004-04.fcs,pDCs,natalia-batch1,8004-04.fcs,2
natalia-batch1-concat_normalized_8004-04.fcs,Classical monocytes,natalia-batch1,8004-04.fcs,0
natalia-batch1-concat_normalized_8004-04.fcs,mDCs,natalia-batch1,8004-04.fcs,1
natalia-batch1-concat_normalized_8004-04.fcs,Nonclassical monocytes,natalia-batch1,8004-04.fcs,2
natalia-batch1-concat_normalized_8004-04.fcs,NK Cells,natalia-batch1,8004-04.fcs,13
natalia-batch1-concat_normalized_8004-04.fcs,CD4 T cells,natalia-batch1,8004-04.fcs,131
natalia-batch1-concat_normalized_8004-04.fcs,CM_CD4,natalia-batch1,8004-04.fcs,12
natalia-batch1-concat_normalized_8004-04.fcs,Effector_CD4,natalia-batch1,8004-04.fcs,2
natalia-batch1-concat_normalized_8004-04.fcs,EM_CD4,natalia-batch1,8004-04.fcs,5
natalia-batch1-concat_normalized_8004-04.fcs,Naive_CD4,natalia-batch1,8004-04.fcs,107
natalia-batch1-concat_normalized_8004-04.fcs,CD8 T cells,natalia-batch1,8004-04.fcs,13
natalia-batch1-concat_normalized_8004-04.fcs,CM_CD8,natalia-batch1,8004-04.fcs,0
natalia-batch1-concat_normalized_8004-04.fcs,Effector_CD8,natalia-batch1,8004-04.fcs,4
natalia-batch1-concat_normalized_8004-04.fcs,EM_CD8,natalia-batch1,8004-04.fcs,4
natalia-batch1-concat_normalized_8004-04.fcs,Naive_CD8,natalia-batch1,8004-04.fcs,3
natalia-batch1-concat_normalized_8004-04.fcs,Neutrophils,natalia-batch1,8004-04.fcs,371
round2_batch4-concat_normalized_8035-02.fcs,Cells,round2_batch4,8035-02.fcs,16921
round2_batch4-concat_normalized_8035-02.fcs,CD45+CD66-,round2_batch4,8035-02.fcs,6784
round2_batch4-concat_normalized_8035-02.fcs,B cells,round2_batch4,8035-02.fcs,904
round2_batch4-concat_normalized_8035-02.fcs,pDCs,round2_batch4,8035-02.fcs,0
round2_batch4-concat_normalized_8035-02.fcs,Classical monocytes,round2_batch4,8035-02.fcs,48
round2_batch4-concat_normalized_8035-02.fcs,mDCs,round2_batch4,8035-02.fcs,48
round2_batch4-concat_normalized_8035-02.fcs,Nonclassical monocytes,round2_batch4,8035-02.fcs,225
round2_batch4-concat_normalized_8035-02.fcs,NK Cells,round2_batch4,8035-02.fcs,818
round2_batch4-concat_normalized_8035-02.fcs,CD4 T cells,round2_batch4,8035-02.fcs,3383
round2_batch4-concat_normalized_8035-02.fcs,CM_CD4,round2_batch4,8035-02.fcs,769
round2_batch4-concat_normalized_8035-02.fcs,Effector_CD4,round2_batch4,8035-02.fcs,448
round2_batch4-concat_normalized_8035-02.fcs,EM_CD4,round2_batch4,8035-02.fcs,747
round2_batch4-concat_normalized_8035-02.fcs,Naive_CD4,round2_batch4,8035-02.fcs,1359
round2_batch4-concat_normalized_8035-02.fcs,CD8 T cells,round2_batch4,8035-02.fcs,927
round2_batch4-concat_normalized_8035-02.fcs,CM_CD8,round2_batch4,8035-02.fcs,86
round2_batch4-concat_normalized_8035-02.fcs,Effector_CD8,round2_batch4,8035-02.fcs,98
round2_batch4-concat_normalized_8035-02.fcs,EM_CD8,round2_batch4,8035-02.fcs,479
round2_batch4-concat_normalized_8035-02.fcs,Naive_CD8,round2_batch4,8035-02.fcs,240
round2_batch4-concat_normalized_8035-02.fcs,Neutrophils,round2_batch4,8035-02.fcs,6327
natalia-batch3-concat_normalized_8013-04.fcs,Cells,natalia-batch3,8013-04.fcs,9823
natalia-batch3-concat_normalized_8013-04.fcs,CD45+CD66-,natalia-batch3,8013-04.fcs,1185
natalia-batch3-concat_normalized_8013-04.fcs,B cells,natalia-batch3,8013-04.fcs,144
natalia-batch3-concat_normalized_8013-04.fcs,pDCs,natalia-batch3,8013-04.fcs,6
